@relation "myrelation"
@attribute txt string
@attribute classatr {positive,negative,neutral}

@data'
'MarzhSultanbay @DanaTlegenova Марж не смотрелавот и интересно) столько говорилистыдно смотрет даже((', positive
'@RumyantsevaT а каким маршрутом шли? 160170 както очень шустро а если колесо отвалится?)', positive
'@rusherlove1d  ахаха со школы меня блядоучителя бесятахахахах )', positive
'@rusherlove1d нормальновезееееееееееет с ахахаха  спаси меня D', positive
'@ruvasik Не мне повезло В этот момент дома была подруга которая пришла кормить кошку )', positive
'@Ryabinskiy удачной рабочей недели и Божией помощи во всех делах! Неделя будет насыщенной )))', positive
'@SabinaWay все я теперь успокоилась ))))', positive
'@sadenka @MaratShibutov в футуристических книгах ААзимова женщины на роботов с не жаловались )', positive
'@sadenka @MaratShibutov у некоторых секс с роботами есть и сейчас ) а чтобы жениться на биороботе его нужно сначала создать', positive
'@sadovnichaya еще ведь даже не обед )) (зависть)', positive
'@Saido44ka йййхххуу) молодец )', positive
'@salionov Не за что )', positive
'@salionov Нет всегда его сообщаем всем кто просит )', positive
'@salionov Так нужно написать ) Чтобы коллеги из службы технической поддержки восстановили ваш профиль )', positive
'@SamtenGyaltsen ну и ладно мир ))', positive
'@sanjarrizayev Твиттерда йў??озир фронтдаСирдарёда завод ?урилишида таржимонлик ?илаётгандиАгар зарур бўлса номерини беришим мумкин )', positive
'@SardorBabaev словарный запас етишмайдими )', positive
'@SashaCollins69 оуумузыкант ты наша мне реально повезлоТкачев нам устроил продолжение банкета D', positive
'@sashamolodushka ну бля Ну много пишу ИВ ЧО? D', positive
'@Sataaaaaaaan ноуноуноу Я НАТУРАЛ D', positive
'@Sataaaaaaaan сиськи не променяю ни на что!D', positive
'@Seredinov D нет) он у себя дома в своей кровати спит)))', positive
'@SergeyGrim я каждый год сдаю D так получается', positive
'@sergeyone Не знаю у меня его нет )', positive
'@SergNice доброе утро другая страна )', positive
'@sergka както неожиданно лето наступило ) я даж не подготовилась', positive
'@SgushenkaRogach Спасибо пуговка ) Приходи в гости на тортик )', positive
'@shakuri прям весь продуманный!! молодцом!!D', positive
'@shatlik ну это он типа жалостно мяукал )', positive
'@Shisholik Это где такая трасса? Хочу там на мотоцикле проехать )', positive
'@shoddymoody сука она приеду к тебе пойдем ей хату яйцами закидаем D', positive
'@ShojumaruMouri просто интересуются не аниме ли мы D', positive
'@sholpanovich подумаем о том чтобы добавить это во второй версии )', positive
'@Shra02 давай Винт самолета мне правда показался хорошей версией но потом я подумала где самолет? )', positive
'@Shuana89  расслабься Утром можешь хоть слона съесть закусив хинкалкамиD', positive
'@shvetsmi у нас он стоял D', positive
'@sidbrady святые шляпы братьев Лето да отправь ты ему уже сообщение D', positive
'@Sigazlo отправили личным сообщением ) проверяйте!', positive
'@silencio506 @Droopy1313 @Lovelywoman25 я с вами тоже только на автомате )', positive
'@silentiumgirl ахахахаха нет но твою юп создал такое впечатление D', positive
'@sinkerssan вставлю в комп D В гости приду лол D', positive
'@SizhSizh как погодка в мск ? )', positive
'@skobaaaa Не мне ?) Мммм  ) Кстати Сева не знает того человека)', positive
'@SlytherinSerpe Сижу в шк готовлюсь типа к физике D', positive
'@SmailKatusha99 кто же это?D', positive
'@Soilig84 нужно найти пересмотреть) а гладиолусы это ж еще с КВНа)))))', positive
'@sonedas ага )))', positive
'@spacecosmoos СИДЕНЬЯ ДОМА D', positive
'@spacetribe можно радоваться что есть настолько тупые у которых почемуто подобные рефлексы не работают ну вот вообще почти никак )', positive
'@SplitCat @neutrinow он мне и так помог всем чем мог )', positive
'@SplitCat @ss00ss @neutrinow он ботами может помочь хорошо )', positive
'@SplitCat та да только вот где ты их всех взял )', positive
'@staff227 с первыми лучами вставай D целовать не забывай с дыханьем природы вставай вставай', positive
'@StasiyaGregory ну точно педик D', positive
'@stasms мы уже переживать начали Молодцом! )', positive
'@streetracer65 разжигает D http//tco/pAvAG27now', positive
'@StroevaOfficial Тоже хорошо! На семинаре студентов мучаю детской психологией!)', positive
'@StrongMaria может это любовь  )', positive
'@Subbotoks спасибо большое Оксана! )', positive
'@sugarvodonaeva Ахаха! Алёна умеете поднять настроение с утра! Сочувствую)', positive
'@svaluev с каким из четырёх? )', positive
'@SvetaSurzhikova какой был запрос?  )', positive
'@Svetlyi13 Хорошо спасибо ) Удачи тебе и быстрой раскачки!', positive
'@sviatmaster http//tco/hHVws2Abxp можно так если больше нравится ))', positive
'@swaggs ты права он офигенный и актеры тоже талантливые)', positive
'@SPonyaev ну если пешком от дома до метро и от метро до работы то это круто я вот все велик хочу для езды на работу ))', positive
'@taisgamaylo с добрым утром! ) Только узнала? ) Зато на каждое задание три дня )', positive
'@TakashiRena и мы тебя любим!&lt3 D', positive
'@talalaeva6277 скажи что ты уделяешь мне внимание еще я не писал и ты через 2 дня только написала )', positive
'@talalaeva6277 что за фильм ? Тогда приезжай и целуй меня )', positive
'@taniaklimova201  торосянчик D', positive
'@tanyatwitcorn ТАК ВОТ ОНО ЧТО!!!  ахахаха!!! Я уж думала он магией пользуется!!!D', positive
'@tashaschebetiuk Жодних сумнівів та варто переконатись не жалій там себе працюй )', positive
'@tatidetka она еще так одета что уши торчат ) я тоже не поняла ) ну зато она вся на стайле ) и говорит как пацан', positive
'@tatidetka это факт )', positive
'@Tatyanka1510 уймись уже ) он заткнулся)', positive
'@TaxaMarta Опять тянет в Париж?) 28 это хорошонам бы так!)', positive
'@tcsbank Спасибо! Не хотелось бы карту закрывать  банк очень хороший )', positive
'@tea1dlove привет) ты как?)', positive
'@tekilaaa если норм будет я приеду )', positive
'@telepuzik2096 а в классе сколько? )', positive
'@tenizgo женская логикатравма для мужской психики ) не понять вам нас некогда)))', positive
'@tetatet1212 Для тебя) http//tco/LiJ5jjhj9q', positive
'@tetatet1212 Добрый день!))) Отличного настроенияприятного общения! ) http//tco/6LG3mSn3Hn', positive
'@tetushkasu ну и почему не допускаешь что это как разтаки проявление этого самого )', positive
'@Theivirus @wylsacom он порусски балаболит D', positive
'@ThickSmoke о девушке ) фильм запрещен в России  ибо там они описывают настоящее лицо  политики ) но его вк даже найти можно D', positive
'@tigryulka если в кране нет воды значит…  жива еще наша интеллигенция )', positive
'@timzuev ничего я очасти приобщилась к вам поцеловав вернувшегося @Teipas )))', positive
'@timzuev лучше твоего презента из Крыма могла бы быть разве что настоящая кошка или настоящая бутылка вина ) спасибо порадовал очень!)', positive
'@TishininaNastya а я чо я с доски списываю!!!)))))', positive
'@toburdanovskaya А мы врубили кондей )', positive
'@TolegenM5 ?ара тізімге жіберетіндері та?ы бар))', positive
'@topoprf @ElenaBaturyna Слоган Единая Россиякак ущемляющее чувства малых народов ))', positive
'@topoprf @ElenaBaturyna Чубайс Сатаров Касьянов Каспаров Немцов ФёдоровМ и навальный удальцов веник акунин и прмелочь  )', positive
'@Tor83V привет! )', positive
'@torrrya у меня ноги болят вот от чего плохо D А не от спиртного', positive
'@tousmagique Well said ) Хорошо сказано)', positive
'@TPoniatovska норм прятки D #мясокишки', positive
'@TRANSAERO и за «вкусные» цены на бизнес тоже спасибо )', positive
'@Trekag ебатькопать тебя не узнать )', positive
'@TretiakovaT это твое мнение )', positive
'@TsarLollipops в наше время возможно всё D #правдажизни малые и не такое могут замутить', positive
'@TsarLollipops ну это не обязательно D', positive
'@tupoymudak Они вроде не особо отличаются у меня просто написано лесная земляника так что это может быть даже одно и то же D', positive
'@tvit21 привет )', positive
'@tweetax бери хоть всех )', positive
'@tweetax спроси у @ss00ss  может он поможет ) @neutrinow', positive
'@tweetax у @neutrinow спроси у него )))))', positive
'@twytman а у нас снег )', positive
'@TSorokina Так и есть!!! )', positive
'@ukkossade человек  матрица?)', positive
'@UlwiKerimli D кошмаар', positive
'@UlwiKerimli ну дак вот делом займисьа не по школам гуляй D', positive
'@UlwiKerimli оооой учился бы сидел лучше D', positive
'@utopia66 ИЗ ГЛУБОКОГО ДНИЩА ПОД НАЗВАНИЕМ БЕЛАРУСЬ D', positive
'@utopia66 ОГО!)СПАСИБ ) Я ПРЯМ В ШОКЕ )', positive
'@utopia66 он после этой песни девушку выбирает D', positive
'@Uyangats @gt1174 Загаж байгаад ДЖ хийлгэчихсэн ??? P', positive
'@Uyangats Цаг зав гаргасан твийт чинь ?нэнд нийцэхг?й л байхг?й юу )))', positive
'@ValeriaChinova @Skorpielle налейте чаю на халяву мне D', positive
'@ValeriyaMayak повезло D я в школе с хуесосами сижу с домой хочу', positive
'@vanchello2013 меня невозможно там не увидеть D', positive
'@vanchello2013 я с луны если что D', positive
'@vang777 Иван привет! Теперь нужно удаление ботов ) Это платно или сделаешь так?', positive
'@VanyaStarodub работает она работает но не промоутером )', positive
'@VargandAbbat а у меня такие D http//tco/1Sh3HtWaJ0', positive
'@varievrai золотые горы наобещал D', positive
'@varlamov не знаю )', positive
'@VALebedev @ABoshan Было бы интересно если бы он его третий раз подряд продал за неделю ))) А так  обыденно', positive
'@VALebedev ага ага) а потом в сводках УВД напишут  отравилась конденсатом )))', positive
'@VALebedev ээээ думаешь мне нужно его попробовать? полизать пол? стол? комп? документы? )))', positive
'@VickaZarykhta дабстеп не трогать D', positive
'@vik21031998  кто тебе засосы ставит?D', positive
'@VikaPary а котик это так ласково названный мужик или самый настоящий кот? ) и куда это существо делось?', positive
'@VikaSeft99 привет пупс )', positive
'@Vikkypoison я тоже вас люблю! D', positive
'@vikohyeah значи вака цела недела а? )', positive
'@ViktoriyaKr хотелось сказать чтото но гиперсаливация помешала )', positive
'@ViktoryNik а кад уста каже уста не лаже )', positive
'@violakurilova тебе ближе до школыЧем мне до теха D', positive
'@Vivaroza а я тока тут всегда но крайне редко ибо лень ждать )))', positive
'@vladik02 БЛИН У МЕНЯ КАКАЯ ТО ХРЕНЬ Я ДАЖЕ РЕТВИТНУТЬ НЕ МОГУ ))))', positive
'@VladizKurska поздравляю с пробуждением! )))', positive
'@VladSurovtsev я не виновата D', positive
'@VMalySheff забыл смайл поставить )', positive
'@VnenXudal Баярлалаа )', positive
'@vombot странный из меня няш D', positive
'@voronkoal ахахах какой урок?)', positive
'@voronova123 Да всем насрать D найду себе некрасивого и все збс будет', positive
'@VoroshiloIpat @TweeVeterok Привет! хорошего дня )', positive
'@vovka307 Вспомнилось из детства в каком городе больше всего крови? В Вене ))', positive
'@Vovse бедняжка Декстер )) все опять к нему лезут И сестра коллекция женских проблем от неуверенности до алко @Shantee', positive
'@VozhikPatriot была в Карпатах )', positive
'@VozhikPatriot кто бы говорил ) стараюсь не быть когда погода такая чудесная нечего здесь делать )', positive
'@VozhikPatriot например куда? )', positive
'@VVPonomarev ага пасиб Позвонили уже )', positive
'@vsaveliev  Спасибо в Вашем лице всем работникам авиакомпании Аэрофлот за отличный сервис и натуральный кофе на борту!!! )))', positive
'@WelcomeUSA Нужно подарить такие Florida Yalta из YouTube! Она любую дверь ногой открывает ))', positive
'@whatsupserge Антипрокол помогает я поставил велик вверх ногами дабы проинспектировать  нет ли больше колючек скрытых )', positive
'@wolfbad1973 ага всех ) Давид  он такой ))', positive
'@WoWReD так мы и не дышали ишо сразу пришли  и все) и конденсат )', positive
'@wwwyarru мы тоже там моем)))', positive
'@ximerasmirnova ну не за 30 же рублей?)', positive
'@XooCoH Нам бус х?нийг  нам бус dga гэж хэлэх чам шиг Лоозон тавих уу )', positive
'@Xpbl4 @oksaneus поехали! )', positive
'@Xround2303 ахха стена? да у нас обалденно в городе!)', positive
'@yanaagafonova и с него бабло потребуй D', positive
'@yanagolovanova дак я рощу  длинные хочу D ты все ровно худала и очень даже взгляд не могла оторвать от тебя!!', positive
'@yananikonova ну перепутала что с Гулей бывает D', positive
'@yaboris кац предлагает сдаться )', positive
'@ygyr4ik да ладно? Не очень заметно былоесли честно )', positive
'@YIPPEEE маньячище просто D мы так похожи лоал', positive
'@YoourHappiness нет работа D', positive
'@youcansayyes ларри? )', positive
'@YuliaCSKA ) угу', positive
'@YuliaSamb в один день )', positive
'@zadereev не ну с дочкой такого не могло произойти просто по определению А выбор сестренки я просто уважаю и помогаю как могу )', positive
'@ZekinaMila Это ты мне?D', positive
'@zergeich из всего этого поняла только смусси и нахуй )', positive
'@ztetka после выходных все во сне на работу приехали а сейчас проснулись видимо D', positive
'@ztetka сейчас все уже ноют )', positive
'@ZuevDima @wylsacom оно там находится D', positive
'@ZultsetsegA баярлалааолон жил ажилчин анги явлаахэсэг амсхийж бгаал буцаал орно доо )', positive
'@zulyahoward у тебя гипертензия D', positive
'@289086336615 будем выбирать другие опции для удовольствий!) ушлажелаювсего ))', positive
'@5559116951342  Где личико Гюль? )))', positive
'@akhmadieva ааа Ну все равно чтоб тебе лучше стало ) спать больше надо  D', positive
'@argentinemoon @romeost90 хуй всегда ясен D', positive
'@d1slike полезными знаниями )', positive
'@DashulyaK  у меня тоже все хорошо ) Погода портится дождик небольшой начинается ( Как у вас там?)', positive
'@DashulyaKk у меня тоже все хорошо ) Погода портится дождик небольшой начинается ( Как у вас там?)', positive
'@EchelonForever если убрать например 1будет 23 D', positive
'@fider ты как никто меня понимаешь белка D', positive
'@IloveHoran хорошо D что делаешь?)', positive
'@lateautumn начитался я ваших омегаверсов и у меня поехал моск D', positive
'@melesya @alinka73 какая разницачерез что пишется D', positive
'@melesya я уже понялаD ударила менякогда его увидела  D', positive
'@MOPKOBKA с феями?D', positive
'@mrsgrey ахахугрожаем? D ладно жду', positive
'@Shantee  ))) ну в медведя то ее превратила сама Мерида короче пошли в дм  @Vovse', positive
'@Shantee рада что посмотрела ) А что шум подняли  даже мыльные журналы пишут так даже полезнее http//tco/PKMGDY5EWU', positive
'@TheWickedEnd ахаха конечно она пригодится я ж четыре года все проябывала D так что спасибо з', positive
'@Waynecrazy да вообще не отличить Особенно поведением D', positive
'@Waynecrazy ну Линкоманне? D', positive
'@Waynecrazy ты солдат? D', positive
'@DobbysWorld да то же самое Я на трех уроках схватила двойки и больше не ходила D', positive
'@DobbysWorld у меня когда в школе училась 2 по английскому выходило D нам дали на четверть уебищную училку и я тупо не ходил D', positive
'Ahh foto baandel Шкшк=)) шкшк=D Dшкшк=)) ', positive
'Good morning доброе утро Москва! В связи с окончанием праздников поздравляю вас с рабочими днями! )))', positive
'Google радует  5 долгих тапов по номеру сборки прошивки и в ответ сообщение Поздравляем Вы стали разработчиком )', positive
'http//tco/2oCIpcptSC Утро в Минске праздники отгуляли на улице жара а завтра снова выходной Читаем трансляцию Комсомолки! )', positive
'Noize Mc как воспоминания про лето 2011 )))', positive
'RT @aakarimova Видеоподборка примеров хорошего поведения водителей на дорогах стран СНГ Очень поднимает настроение с утра ) http//tco/TayYUY7q7v', positive
'RT @AcornMyLife @KATRYNDREAMER ахах ага D  Спасибо )', positive
'RT @AcornMyLife @KATRYNDREAMER тем более Like D', positive
'RT @akula1000 я за него  бери мак )', positive
'RT @alenaalena31019 Любимым ужастиком Джастина является фильм Сирота” НЕТ ВРЕМЕНИ ОБЪЯСНЯТЬ Я ПОШЕЛ СМОТРЕТЬ ЭТО ФИЛЬМ D', positive
'RT @alexcohh Будь активен в том что приближает тебя к цели Живи до конца )', positive
'RT @AlexShvarz И даже действует слегка успокаивающе ) RT @redviza Красная тряпка в руках Валуева быка не раздражает', positive
'RT @AlexSparrow Звонарёв in da house ) #деффчонки3 http//tco/rBCMmEHFj7', positive
'RT @AlinaLiKuper @SashaCollins69 оуумузыкант ты наша мне реально повезлоТкачев нам устроил продолжение банкета D', positive
'RT @aliraalira ахаххахаха аня сломала об меня линейку а потом и мою D http//tco/ZCxb7eOGeK', positive
'RT @AmiPonchi Без йена гексен не гексенD', positive
'RT @AmydFirst #ВзаимныйФолловинг снова в актуальных! Добавляемся в читатели ) #RT читайте друг друга ))', positive
'RT @AmydFirst #читайМеняАяТебя #ЧитаюВсегдаВзаимно #ЧитаемДругДругаВзаимно #ФолловьМеняПолностью #ВзаимноеЧтение #взаимныйфолловинг ЧИТАЮ ВЗАИМНО ВС', positive
'RT @andreysis ТОП10 постов майских праздников Тепло шашлыки птички поют… ну какие еще интернеты?) Чтобы вы http//tco/cHgFRU8UdF', positive
'RT @angar118 @Altansaikhan ее хэхэ Би таныг олон хvvхэдтэй гэж бодсоншд Гэхдээ гоё бодол байнашд )', positive
'RT @ANNASEDOKOVA “@LeraTV Ничем вас порадовать не могу У меня все хорошо! )” ????????????????', positive
'RT @AnnQuest идеальная погода  когда в 12 ночи хочется открыть балкон Мне нравится майское лето )', positive
'RT @anndeny А тепер всі дружно @CrystAlina  @ValeryGolovlyov  написали дякую @TweetYura )', positive
'RT @anyaradevich паходу скоро встречусь с  @perelaiko )', positive
'RT @APogodkina Пришла значит ко мне @EmilyLatvia и началось корми меня а где розетка Афанасиий ни как дела ничего D', positive
'RT @ariunkhishig3 Ажилдаа явах гэж машин худалдаж авах биш ажлынхаа ойролцоо байр авчаад явган алхаад оччихдог х?нийг жинхэнэ баян гэнэ гэнэээ )', positive
'RT @askhatsadyrbai Современный Алфавит ) http//tco/4eKXN4NbtB', positive
'RT @Astartadevil засмотрелась на Ким Дже Вука в Антик и пронесла кусок мороженого мимо рта на пол D что творят эти прекрасные корейцы?))))))', positive
'RT @bahhtee Кто рано встает тому сами знаете что ) доброе утро страна?', positive
'RT @BahytSyzdykova Официально сообщаю меня назначили Вицепрезидентом Национального Паралимпийского Комитета Республики Казахстан Пожелайте мне удач', positive
'RT @baranskyi @mashadrokova ты как Керри Брэдшоу )', positive
'RT @bertramawesome сегодня 7 уроков пожалуй мне проще будет застрелиться )))', positive
'RT @BettyRozhkova У Вани самая упоротая фотка хДДД Ему можно он упорот D', positive
'RT @bilgvvn Хайрг?й бол б?? ?нс Хайртай бол харин уруулаа б?? салгаарайАаая хурган #Романтик #БИ ))', positive
'RT @bmongol Залуусын Дархан хотоос мэндчилж байна! )', positive
'RT @Boldsaikhandr Т?гжрэл бухимдаж эсвэл бясалгаж болно замын т?гжрэл арилахг?й ч бодолын т?гжрэл арилна Замын т?гжрэл = бясалгал хийх сайхан бол', positive
'RT @Britanka @achromate Держи топор D http//tco/RVU0uZWgbR', positive
'RT @buddobr Не ожидала от Коляна такого подарка !всетаки старший брат лучше младшего )', positive
'RT @businesspr Утреннее развлечение менеджеров среднего звена — лифтолуки ну не понимаю я этого увлечения «смотрите я в лифте» )))', positive
'RT @CherryAlex ОМГ я еду в универ D', positive
'RT @ChikilevS Боже просто сказочная херня! Ахахаха я то думал что хуже оде некогда ан нет!D http//tco/PDXzUG2jzC', positive
'RT @colferslumbus @emmaivl Дадад сама ухахатывалась автор молодец D', positive
'RT @crazydiablo ВОКРУГ МЕНЯ ВЛАЖНЫЕ РАЗГОРЯЧЕННЫЕ ТЕЛА ВСЕ СТОНУТ ОТ ИЗНЕМОЖЕНИЯ И ЖМУТСЯ ПОБЛИЖЕ ДРУГ К ДРУГУ илюша в электричке )', positive
'RT @dashkavo15397  И ещё купи мне новую тачку детка  Аггаа твоя фамилия случайно не Ахуели?(с) )', positive
'RT @ddilina все просыпают сегодня а я бля наоборот  встала раньше D', positive
'RT @diesbemol Google прислал результат по авторскому материалу выпадающему в поиске ) А как начался ваш понедельник? &gt&lt http//tco/wXHGzThE', positive
'RT @dmitriev Тренинг Создание и развитие продуктов и сервисов нового поколения начинается серез 2 минуты )', positive
'RT @DrAnuudari Маш нарийн тайлбарласан байна ) хэрэгжvvлээрэй ) http//tco/pvm36OrR5v', positive
'RT @dubaneguxeku За одного битого  двух небитых даютмуж вернулся под утро с синякомГде Я могу его обменять и на кого?)', positive
'RT @Efremovajulia1 Билеты все сделала теперь с Соболевой по скайпу пиздим D', positive
'RT @Efremovajulia1 Эту сучка ко мне щас придёт ))', positive
'RT @ekslj Курочка по зернышку клюет а весь двор в помёте  Так полностью звучит пословица! )', positive
'RT @ELukyanov МоскваМиланМосква никто не собирается в близжайшее время? Забрать телефон в отеле ))', positive
'RT @EugStolyarov @136th мне однажды машину заперли а под стеклом вместо телефона QRкод Я сканировал позвонил и попросил убрать Вот это было мод', positive
'RT @EuropaPlus Понедельник  как кот подкрадывается незаметно! ) Тем не менее с добрым утром ребята! http//tco/1AWz1gn8QI', positive
'RT @EuropaPlusKG Джастин Тимберлейк едет в турне и выпускает новый альбом! Ждите вторую часть «The 20/20 Experience» до конца года ) http//tco/nPX', positive
'RT @eva7252 Когда пишут спспривлюнраок создается ощущение что в Интернете за каждую букву деньги надо платить ))', positive
'RT @Evgenmace @BautinaViktoria и для меня можно? мне лень просто D', positive
'RT @Evgenmace @eleonoraru ты успокойся тут всем так кажется это распостранённая твитерская паранойя  D', positive
'RT @farikus И самой девушки ) RT @DJFateh Конкурс Miss Azerbaijan  это когда букет в руках девушки красивее короны и сертификата', positive
'RT @FeatheryAssbut @Cocainenormal Да ладно он просто занимался дегустацией D', positive
'RT @felixkote #читайМеняАяТебя #ЧитаюВсегдаВзаимно #ЧитаемДругДругаВзаимно #ФолловьМеняПолностью #ВзаимноеЧтение #взаимныйфолловинг ЧИТАЮ ВЗАИМНО ВС', positive
'RT @Fess25Rus Семитысячный твииииииит! D http//tco/KXbRwTk5j5', positive
'RT @Geichik7Star У Эшл1 якась баба нова? Чи це мужик? D', positive
'RT @GeorgeKolotov Идет набор на мой интенсивный технический фотокурс с 8 июня Условия http//tco/i7E6OkmtDO Добро пожаловать! #rtplz #bishkek #ed', positive
'RT @GeshaEuginia Сегодня День Рождения  у Женяни @13gesha ) Женькасчастья здоровья любви успехов в жизни) Будь счастлива!', positive
'RT @improbableslipp @zulyahoward у тебя гипертензия D', positive
'RT @improbableslipp разговаривать в тви находясь на расстоянии вытянутой руки? МОГУ УМЕЮ ПРАКТИКУЮ D /о', positive
'RT @IsadoraLenochka Дима месяц консультировался у меня онЛайн С 80 до 70 кг ) #mycoach #fit #diet #health #lifestyle http//tco/r0ziKpKEuJ', positive
'RT @jjennamiller @ksyushahoran @niallofficial хочу Нааааааааайла D', positive
'RT @Julia1D @jusxyyyy помоему у меня так и будет D', positive
'RT @Juliaaokay @DashulyaK спокойной )', positive
'RT @KarpovaNadin @KormilitsinA @PollyBogdanova ооо мне бы тоже свою Полину под боком что бы заставила бегать )', positive
'RT @Kartashan98 И на русском мы сильно упоролись D Вот правдане хватало', positive
'RT @KassyNovak @kaz2y5misha в процессе написания 33 завтра послезавтра отправит жди  МУХАХАХАХА D', positive
'RT @KateBro69 @utopia66 ОГО!)СПАСИБ ) Я ПРЯМ В ШОКЕ )', positive
'RT @KATRYNDREAMER @AcornMyLife круто)Но нечего терпи!Музыка требует жертв D', positive
'RT @KatyaKat Чудо погода! Уже все зеленое и такое теплое! Я обожаю май!)))', positive
'RT @Katisaeva Бааааа как мы пожитки разложили ахахахах фирменное Настино D', positive
'RT @Katisaeva Всётаки все Саши в чёмто да странные ктото сам по себе ктото гопстоп ктото вечно подстёбывает а ктото вообще маньякизвраще', positive
'RT @KeminKeciL Ahh foto baandel Шкшк=)) шкшк=D Dшкшк=)) ', positive
'RT @kettymars @sidbrady святые шляпы братьев Лето да отправь ты ему уже сообщение D', positive
'RT @KIDMatvey 777 твит для @ozik49 @uyooo @NadyaTratata @iraccoon ) улыбок вам))', positive
'RT @Korrespondent McDonalds убрал из меню один из самых дорогих бутербродов http//tco/YrJapN1HXS  зажуём  заживём! )', positive
'RT @kostjik Медведев с супругой ) http//tco/XiIU17jO', positive
'RT @kovrishka09 @JayHoran103 да D', positive
'RT @kovrishka09 надо чтото скачать для радио на сегодня может подскажете? ) #RT please )', positive
'RT @kovrishka09 пока музычку включил http//tco/vcwhbiPPZt приходите на мое радио ) #RadioLDF', positive
'RT @KristishaSweet @kuklakris777 да ужс просто D', positive
'RT @kraleksis в этих костюмах гуляли 9 мая по городуа чем нам ноорм ) http//tco/LZd7OSRKLd', positive
'RT @ksandern Выиграл вот такой постер к Star Trek Into Darkness от harijslv и #kinoblogeri ) http//tco/9xCqD9Dd17', positive
'RT @KuzmickayaSN Ахаха а это я со своей курочкой ) @malininaaa1 люблю тебя твой Кузьмич 3 http//tco/ONpaK0QiRf', positive
'RT @KuzminVitaliy Шимбирев  нихера БД  нихера Личная жизнь  нихера Машины  нихера Денег  нихера  Все очень плохо ) http//tco/Ux9iU5YpQk', positive
'RT @KMAIOROVA @TabachenkoA @KMAIOROVA болеть не надо лето на дворе почти))) нежный поцелуй тебя спасет??мерсиии иииууу )', positive
'RT @LaminSV “@Vedomosti Счетная палата начала проверку «Газпрома»  http//tco/MnLtBMriDH” Пчелы против меда! )', positive
'RT @lampapusha В БаракДаше настолько офигенно что даже без бармена народ бухает D', positive
'RT @liptooon Русск яз Бессоюзные предложения Учитель какие отношения между частями?  любовные Хахаха Деркаааач )', positive
'RT @lizasheen чистота превыше всего ) @zachbraff http//tco/104BwtnUKZ', positive
'RT @Lopareff приятно на велике вжарить километров 100 а это муйня какаято ) RT @Tvoyboy Приятно когда тебя начинает читать аккаунт с галочкой=)', positive
'RT @lyapis Отличные новости для наших слушателей из Северной Столицы ) 23 июня играем на легендарном фестивале Окна Открой в Питере! #LyapisCrew', positive
'RT @lamethystl с Днём Рождения @acidyprince ^^ желаю тебе многомного конфет и сладкой ваты всего самого тёплого и пушистого D', positive
'RT @madnemo @alexZZandraTS @pmikaelson Таки мы были в еврейском квартале щито не так D', positive
'RT @MAKEEHKOB Открою Вам маленькую военную тайну  В слове армия тоже зашифорвано слово мир  но только в виде ребуса ) http//tco/H4DBkuk', positive
'RT @mandaakh Хаха ?нэмлэх л бол ?нэмлэх л юм даа )) @Egshiglend @dulmandakh Бvтэлгvй золиг шvvУИХийн гиш??н ОБаасанх?? http//tco/JlPbqMcKvm', positive
'RT @MaratShibutov Два ужасных предмета культа Смерти  тазикэвтаназик и тостерхолакостер )))', positive
'RT @MargoStop @NikolArtemovna а я уже на улице !!! p', positive
'RT @MariaZet Зачем ты просишь всех с тобой здороваться?DD Ты такая ущербная и с тобой никто не общается?D', positive
'RT @MariaZet Слово дня  селедкаа D', positive
'RT @MarySlytherin уиии тут сидит мужик  ну копия д`Арни прелесть какая D', positive
'RT @maslovaaayana А у Влады колгтки в сеточку шлюхаааа D', positive
'RT @Melonmur @prohorya ахахаха )', positive
'RT @mmdemidova Срочно кофе! А то 5 часов сна мне все же маловато )', positive
'RT @monlist Ус уухын хэрэгцээ нь юу вэ? @DrAnuudari Маш нарийн тайлбарласан байна ) хэрэгжvvлээрэй ) http//tco/Azzbv7R5hV', positive
'RT @MVolkovnickaja В Лондоне есть ресторан  Ciros Pizza Pomodoroтам можно заказать любимую пиццу @fkirkorov ) http//tco/hZAzr5sd3a', positive
'RT @Myangantsetseg Байж болох хамгийн сайхан романтик амьдралургуулж болох хамгийн сайхан цэцэгсийг сонгуулийн ?еэр л бидний чихэн дээр уршуулах юм ', positive
'RT @nafAnya91 не забыть бы в воскресенье КВН посмотреть D', positive
'RT @nasandr92 @morionykt присоединяюсь ко всем словам ждем вечером на ужин и не смей говорить что ты на диете! )', positive
'RT @Nastassia6801 @lunarelf конечно! @SStyaroslavl это лучшеечто может быть со студентом ))))', positive
'RT @NastyaVesna1997 бляяну и хуету ты написалD', positive
'RT @natalyveselova Доброе утро друзья! Прекрасного вам дня! ) http//tco/j5e6Fy4ezS', positive
'RT @NialIOlficial @heyevaaa Вы всё ещё не Ларришиппер? ТОГДА МЫ ИДЁМ К ВАМ D http//tco/BGeXMQ5mLI', positive
'RT @NialIOlficial Вчера был ровно год как я Дирекшионер 3 День прошёл весело но не без травм D Разбили люстру рукой и у меня защемило нерв в спине', positive
'RT @NickNick1402 @Belskaya ты под колпаком ?? D', positive
'RT @ninatakisima @DianaYankumi вот вот D', positive
'RT @NoFuckNoMore Рич в школе Рич хочет Берти и Юки D', positive
'RT @nolar Зацените как #hostland возвращает неиспользованные деньги при уходе от них https//tco/RakFKcWwbu )', positive
