@relation "myrelation"
@attribute feat string
@attribute lemma string
@attribute link string
@attribute sms string
@attribute classatr {positive,negative,neutral}
@data
'ADV', 'ГДЕ', 'обст', 'где', positive
'CONJ', 'И', 'сочин', 'и', positive
'A МН ИМ', 'МОЙ', 'опред', 'мои', positive
'NID', 'ПОЗДРАВЛЯШКИ', 'соч-союзн', 'поздравляшки', positive
'NID', 'D', 'аппоз', 'D', positive
'S ЕД ЖЕН РОД ОД', 'ДЕВОЧКА', 'предик', 'Девочки', positive
'S ЕД МУЖ ДАТ ОД', 'КТО', '2-компл', 'кому', positive
'PART', 'НЕ', 'огранич', 'не', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ХВАТАТЬ', '', 'хватает', positive
'S ЕД СРЕД РОД НЕОД', 'ВНИМАНИЕ', 'предик', 'внимания', positive
'V НЕСОВ ПОВ МН 2-Л', 'ИДТИ', 'fictit', 'идите', positive
'V НЕСОВ ИНФ', 'РАБОТАТЬ', 'обст', 'работать', positive
'PR', 'В', 'обст', 'в', positive
'A ЕД МУЖ ВИН НЕОД', 'ВОЕННЫЙ', 'опред', 'военный', positive
'S ЕД МУЖ ВИН НЕОД', 'ГОСПИТАЛЬ', 'предл', 'госпиталь', positive
'S ЕД СРЕД ИМ ОД', 'ОНО', 'предик', 'оно', positive
'S МН ДАТ ОД', 'ВЫ', 'дат-сент', 'вам', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'БЫТЬ', 'сент-соч', 'будет', positive
'A КР ЕД СРЕД', 'ГАРАНТИРОВАННЫЙ', 'присвяз', 'гарантированно', positive
'S ЕД', 'D', 'разъяснит', 'D', positive
'S ЕД МУЖ РОД ОД', 'ДЕЙК', 'аппоз', 'Дейка', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'СТОЯТЬ', 'разъяснит', 'стоит', positive
'PR', 'ВОЗЛЕ', '1-компл', 'возле', positive
'S ЕД ЖЕН РОД НЕОД', 'ДОСКА', 'предл', 'доски', positive
'NID', 'ХАХА', 'аппоз', 'хаха', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ДЕЛАТЬ', 'сент-соч', 'делает', positive
'A ЕД МУЖ ИМ', 'УМНЫЙ', 'опред', 'умный', positive
'S ЕД МУЖ ИМ НЕОД', 'ВИД', 'предик', 'вид', positive
'V НЕСОВ ИНФ', 'ДЕЛАТЬ', 'разъяснит', 'делать', positive
'S ЕД ЖЕН ВИН НЕОД', 'ЗАРЯДКА', '1-компл', 'зарядку', positive
'PR', 'ПОД', 'атриб', 'под', positive
'NID', 'ХАРРИКЕЙН', 'предл', 'харрикейн', positive
'NID', 'ЭПИЧНО', 'аппоз', 'эпично', positive
'S ЕД СРЕД ВИН НЕОД', 'ВПЕЧАТЛЕНИЕ', 'fictit', 'Впечатление', positive
'CONJ', 'ЧТО', '1-компл', 'что', positive
'S ЕД ЖЕН ИМ НЕОД', 'ДУША', 'предик', 'душа', positive
'NID', 'ЩАС', 'квазиагент', 'щас', positive
'PR', 'ИЗ', '1-компл', 'из', positive
'S ЕД СРЕД РОД НЕОД', 'ТЕЛО', 'предл', 'тела', positive
'V СОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ВЫХОДИТЬ', 'подч-союзн', 'выйдет', positive
'NID', 'D', 'предик', 'D', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ДЕЛАТЬ', 'разъяснит', 'делаю', positive
'S ЕД МУЖ ИМ НЕОД', 'ДОКЛАД', 'разъяснит', 'доклад', positive
'PR', 'ПРО', '1-компл', 'про', positive
'A МН ВИН НЕОД', 'МЕМОРИАЛЬНЫЙ', 'опред', 'мемориальные', positive
'S МН МУЖ ВИН НЕОД', 'ПАМЯТНИК', 'предл', 'памятники', positive
'PART', 'И', 'огранич', 'и', positive
'ADV', 'ТУТ', 'обст', 'тут', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ВСПОМИНАТЬ', 'разъяснит', 'вспомнила', positive
'S ЕД МУЖ ИМ ОД', 'ПРОКОПЬЕВ', '1-компл', 'Прокопьев', positive
'NUM', '3', 'аппоз', '3', positive
'NID', 'ШТУКИ', 'квазиагент', 'штуки', positive
'S ЕД МУЖ ИМ ОД', 'САША', 'разъяснит', 'Саша', positive
'NID', 'ЛОЛ', 'аппоз', 'лол', positive
'S', 'DДЕНЬ', 'предик', 'DДень', positive
'NID', 'РЕТВИТОВ', 'аппоз', 'ретвитов', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ОБЪЯВЛЯТЬ', 'разъяснит', 'объявляю', positive
'A МН ДАТ', 'ОТКРЫТЫЙ', '2-компл', 'открытым', positive
'S ЕД МУЖ ИМ ОД', 'ДЖАСТИН', 'предик', 'Джастин', positive
'S ЕД МУЖ ИМ ОД', 'ТИМБЕРЛЕЙК', 'аппоз', 'Тимберлейк', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ЕХАТЬ', '', 'едет', positive
'PR', 'В', '2-компл', 'в', positive
'S ЕД СРЕД ВИН НЕОД', 'ТУРНЕ', 'предл', 'турне', positive
'CONJ', 'И', 'сочин', 'и', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ВЫПУСКАТЬ', 'соч-союзн', 'выпускает', positive
'A ЕД МУЖ ИМ', 'НОВЫЙ', 'опред', 'новый', positive
'S ЕД МУЖ ИМ НЕОД', 'АЛЬБОМ', 'предик', 'альбом', positive
'V НЕСОВ ПОВ МН 2-Л', 'ЖДАТЬ', 'соч-союзн', 'Ждите', positive
'A ЕД ЖЕН ВИН', 'ВТОРОЙ', 'опред', 'вторую', positive
'S ЕД ЖЕН ВИН НЕОД', 'ЧАСТЬ', '1-компл', 'часть', positive
'NID', 'THE', 'квазиагент', 'The', positive
'NUM', '20', 'fictit', '20', positive
'NUM', '20', 'кратн', '20', positive
'NID', 'EXPERIENCE', 'fictit', 'Experience', positive
'PR', 'ДО', 'атриб', 'до', positive
'S ЕД МУЖ РОД НЕОД', 'КОНЕЦ', 'предл', 'конца', positive
'S ЕД МУЖ РОД НЕОД', 'ГОД', 'квазиагент', 'года', positive
'NID', 'HTTP', 'fictit', 'http', positive
'S', 'T.CO', 'аппоз', 't.co', positive
'S', 'NPXCCAT23E', 'аппоз', 'nPXcCAT23E', positive
'S ЕД ЖЕН ИМ ОД', 'ДЖУЛЬЕТТА', 'аппоз', 'Джульетта', positive
'A ЕД ЖЕН ИМ', 'ТАКОЙ', 'опред', 'такая', positive
'S ЕД ЖЕН ИМ ОД', 'ШЛЮХА', 'аппоз', 'шлюха', positive
'S ЕД ЖЕН ИМ ОД', 'D', 'аппоз', 'D', positive
'S ЕД МУЖ ИМ ОД', 'ДИМА', 'аппоз', 'Дима', positive
'S ЕД МУЖ ВИН НЕОД', 'МЕСЯЦ', 'длительн', 'месяц', positive
'V НЕСОВ СТРАД ИЗЪЯВ ПРОШ ЕД МУЖ', 'КОНСУЛЬТИРОВАТЬ', 'разъяснит', 'консультировался', positive
'PR', 'У', 'обст', 'у', positive
'S ЕД МУЖ РОД ОД', 'Я', 'предл', 'меня', positive
'S ЕД МУЖ ИМ НЕОД', 'ОНЛАЙН', 'предик', 'он-Лайн', positive
'S', 'С', 'аппоз', 'С', positive
'NUM', '80', 'опред', '80', positive
'PR', 'ДО', 'атриб', 'до', positive
'NUM', '70', 'опред', '70', positive
'S ЕД МУЖ РОД НЕОД', 'КИЛОГРАММ', 'атриб', 'кг', positive
'S', '#MYCOACH', 'разъяснит', '#mycoach', positive
'S', '#FIT', 'аппоз', '#fit', positive
'S', '#DIET', 'аппоз', '#diet', positive
'S', '#HEALTH', 'аппоз', '#health', positive
'S', '#LIFESTYLE', 'аппоз', '#lifestyle', positive
'NID', 'HTTP', 'аппоз', 'http', positive
'S', 'T.CO', 'аппоз', 't.co', positive
'S', 'R0ZIKPKEUJДИПЛОМ', 'аппоз', 'r0ziKpKEuJДиплом', positive
'PR', 'ЗА', 'атриб', 'за', positive
'NUM ЕД МУЖ ВИН НЕОД', 'ОДИН', 'количест', 'один', positive
'S ЕД МУЖ ВИН НЕОД', 'ДЕНЬ', 'предл', 'день', positive
'V СОВ ИЗЪЯВ ПРОШ МН', 'ПОЕХАТЬ', 'разъяснит', 'Поехали', positive
'PR', 'ДО', 'обст', 'До', positive
'S ЕД СРЕД РОД НЕОД', 'НАЧАЛО', 'предл', 'начала', positive
'S ЕД СРЕД РОД НЕОД', 'ЛЕТО', 'квазиагент', 'лета', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД СРЕД', 'ОСТАВАТЬСЯ', '', 'осталось', positive
'NUM', '19', 'количест', '19', positive
'S МН МУЖ РОД НЕОД', 'ДЕНЬ', 'предик', 'дней', positive
'A ЕД СРЕД РОД', 'ХОРОШИЙ', 'опред', 'Хорошего', positive
'S ЕД СРЕД РОД НЕОД', 'НАЧАЛО', 'квазиагент', 'начала', positive
'A ЕД ЖЕН РОД', 'РАБОЧИЙ', 'опред', 'рабочей', positive
'S ЕД ЖЕН РОД НЕОД', 'НЕДЕЛЯ', 'квазиагент', 'недели', positive
'NID', 'HTTP', 'fictit', 'http', positive
'S', 'T.CO', 'аппоз', 't.co', positive
'S', 'NDXNHNA1U2', 'аппоз', 'NDXnHNa1u2', positive
'S ЕД СРЕД ИМ НЕОД', 'ДОБРО', 'аппоз', 'Добро', positive
'S ЕД СРЕД ИМ НЕОД', 'УТРО', 'fictit', 'утро', positive
'S ЕД МУЖ ИМ НЕОД', 'НАРОД', 'предик', 'народ', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 1-Л', 'НАБИРАТЬ', 'разъяснит', 'Набираем', positive
'S МН МУЖ ВИН НЕОД', 'ОБОРОТ', '1-компл', 'обороты', positive
'NID', 'HTTP', 'fictit', 'http', positive
'S', 'T.CO', 'аппоз', 't.co', positive
'S', 'IGHSV5HW1B', 'аппоз', 'iGHSV5Hw1b', positive
'A ЕД МУЖ РОД', 'ДОБРЫЙ', 'опред', 'Доброго', positive
'S ЕД ЖЕН ВИН НЕОД', 'РАНКА', 'fictit', 'ранку', positive
'S', 'ДРУЗІ', 'огранич', 'друзі', positive
'NID', 'ВДАЛОГО', 'атриб', 'Вдалого', positive
'S ЕД МУЖ РОД НЕОД', 'ДЕНЬ', 'присвяз', 'дня', positive
'NID', 'HTTP', 'fictit', 'http', positive
'S', 'T.CO', 'аппоз', 't.co', positive
'S', 'GQVFUFHQYCДОБРОГО', 'аппоз', 'GQvfUfHqYcДоброго', positive
'S МН СРЕД ИМ НЕОД', 'УТРО', 'сент-соч', 'утра', positive
'PART', 'И', 'огранич', 'и', positive
'A ЕД МУЖ РОД', 'ОТЛИЧНЫЙ', 'опред', 'отличного', positive
'S ЕД МУЖ РОД НЕОД', 'ДЕНЬ', 'квазиагент', 'дня', positive
'S МН МУЖ ИМ ОД', 'ДРУГ', 'предик', 'друзья', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 1-Л', 'ВЛИВАТЬСЯ', 'сочин', 'Вливаемся', positive
'PR', 'В', '1-компл', 'в', positive
'S ЕД ЖЕН ВИН НЕОД', 'РАБОТА', 'предл', 'работу', positive
'A ЕД СРЕД ИМ', 'ДОБРЫЙ', 'опред', 'Доброе', positive
'S ЕД СРЕД ИМ НЕОД', 'УТРО', 'fictit', 'утро', positive
'S МН ДАТ ОД', 'ВСЕ', 'дат-субъект', 'всем', positive
'A КР ЕД СРЕД', 'ХОРОШИЙ', 'разъяснит', 'хорошо', positive
'S ЕД МУЖ РОД НЕОД', 'ДЕНЬ', 'атриб', 'дня', positive
'NID', 'HTTP', 'квазиагент', 'http', positive
'S', 'T.CO', 'аппоз', 't.co', positive
'S', 'JBAXGAPTEE', 'аппоз', 'JBAXgAPTEe', positive
'A ЕД СРЕД ИМ', 'ДОБРЫЙ', 'опред', 'Доброе', positive
'S ЕД СРЕД ИМ НЕОД', 'УТРО', 'аппоз', 'утро', positive
'A МН ДАТ', 'ВЕСЬ', 'дат-сент', 'всем', positive
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'СХОДИТЬ', '', 'Сходила', positive
'S ЕД СРЕД ТВОР НЕОД', 'УТРО', 'обст', 'утром', positive
'PR', 'В', 'атриб', 'в', positive
'S ЕД СРЕД ПР НЕОД', 'АТЕЛЬЕ', 'предл', 'ателье', positive
'V СОВ ИНФ', 'ОТНОСИТЬ', 'обст', 'отнести', positive
'S ЕД СРЕД ВИН НЕОД', 'ПЛАТЬЕ', '1-компл', 'платье', positive
'A ЕД СРЕД ВИН', 'ДОБРЫЙ', 'опред', 'доброе', positive
'S ЕД СРЕД ВИН НЕОД', 'УТРО', '1-компл', 'утро', positive
'A МН ВИН НЕОД', 'МОЙ', '1-компл', 'мои', positive
'A МН ВИН НЕОД', 'ЗАМЕЧАТЕЛЬНЫЙ', '1-компл', 'замечательные', positive
'A ЕД СРЕД ИМ', 'ДОБРЫЙ', 'опред', 'Доброе', positive
'S ЕД СРЕД ИМ НЕОД', 'УТРО', 'разъяснит', 'утро', positive
'A ЕД МУЖ ИМ', 'ОФИСНЫЙ', 'опред', 'офисный', positive
'S ЕД МУЖ ИМ НЕОД', 'ЛУК', 'fictit', 'лук', positive
'NID', 'HTTP', 'fictit', 'http', positive
'S', 'T.CO', 'аппоз', 't.co', positive
'S', 'GXTDK8F7BJДОБРОЕ', 'аппоз', 'gXtDk8F7bJДоброе', positive
'S ЕД СРЕД ИМ НЕОД', 'УТРО', 'разъяснит', 'утро', positive
'S ЕД МУЖ ИМ НЕОД', 'ТВИТТЕР', 'разъяснит', 'твиттер', positive
'S ЕД ЖЕН ИМ ОД', 'З', 'fictit', 'З', positive
'S ЕД МУЖ ТВОР НЕОД', 'ДЕНЬ', 'обст', 'Днем', positive
'NID', 'НАРОДЖЕННЯ', 'квазиагент', 'народження', positive
'S', '@ALEXPIKASO', 'аппоз', '@AlexPikaso', positive
'S', 'РАДІСТЬ', 'огранич', 'радість', positive
'A ЕД ЖЕН ИМ', 'МОЙ', 'опред', 'моя', positive
'PR', 'ЗА', 'обст', 'за', positive
'NUM', '2', 'предл', '2', positive
'S МН ЖЕН ИМ НЕОД', 'НЕДЕЛЯ', 'предик', 'недели', positive
'PR', 'НА', 'атриб', 'на', positive
'S ЕД ЖЕН ПР НЕОД', 'УЧЕБА', 'предл', 'учебе', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ПОЯВЛЯТЬСЯ', 'разъяснит', 'появилась', positive
'PART', 'ТОЛЬКО', 'огранич', 'только', positive
'NUM', '3', 'количест', '3', positive
'S ЕД МУЖ РОД НЕОД', 'РАЗ', 'обст', 'раза', positive
'NID', 'D', 'предик', 'D', positive
'PR', 'ЗА', 'атриб', 'За', positive
'S МН СРЕД ВИН НЕОД', 'УХО', 'предл', 'уши', positive
'PART', 'НЕ', 'огранич', 'не', positive
'V СОВ ИЗЪЯВ НЕПРОШ ЕД 2-Л', 'ОТТАСКИВАТЬ', 'разъяснит', 'оттащишь', positive
'S ЕД СРЕД ТВОР НЕОД', 'ТО', 'атриб', 'Тем', positive
'ADV', 'БОЛЕЕ', 'огранич', 'более', positive
'A ЕД ЖЕН ИМ', 'САМ', 'опред', 'сама', positive
'NID', 'РОЛЛЕРША', '', 'роллерша', positive
'PR', 'В', '2-компл', 'в', positive
'S ЕД МУЖ ПР НЕОД', 'ШЛЕМ', 'предл', 'шлеме', positive
'NID', 'HTTP', 'fictit', 'http', positive
'S', 'T.CO', 'аппоз', 't.co', positive
'S', 'E7QATEV0MR', 'аппоз', 'E7qAteV0Mr', positive
'PR', 'ЗА', 'атриб', 'за', positive
'A МН ВИН НЕОД', 'ЭТОТ', 'опред', 'эти', positive
'S МН МУЖ ВИН НЕОД', 'ВЫХОДНОЙ', 'предл', 'выходные', positive
'S ЕД МУЖ ИМ ОД', 'Я', 'предик', 'я', positive
'PART', 'ЕЩЕ', 'огранич', 'еще', positive
'ADV', 'НИ РАЗУ', 'обст', 'ни разу', positive
'PART', 'НЕ', 'огранич', 'не', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ВЫСЫПАТЬСЯ', 'разъяснит', 'выспалась', positive
'PART', 'НЕ', 'огранич', 'не', positive
'S', 'УДИВИТЕЛЬНОЗАБИРАЮ', 'огранич', 'удивительноЗабираю', positive
'S ЕД МУЖ ДАТ ОД', 'СЕБЯ', 'fictit', 'себе', positive
'NID', 'HTTP', 'fictit', 'http', positive
'S', 'T.CO', 'аппоз', 't.co', positive
'S', '9PZ31EZ6FS', 'аппоз', '9pZ31EZ6FS', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ЗАГРУЖАТЬ', '', 'загрузила', positive
'PR', 'В', '2-компл', 'в', positive
'A ЕД МУЖ ВИН НЕОД', 'СВОЙ', 'опред', 'свой', positive
'NID', 'ПЛЭЙ', 'композ', 'плэй', positive
'S ЕД МУЖ ВИН НЕОД', 'ЛИСТ', 'предл', 'лист', positive
'A МН ИМ', 'НОВЫЙ', 'опред', 'новые', positive
'S МН ЖЕН ИМ НЕОД', 'ПЕСЕНКА', 'fictit', 'песенки', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'ДУМАТЬ', 'вводн', 'думаю', positive
'S ЕД СРЕД ВИН НЕОД', 'ЧТО', '1-компл', 'что', positive
'PR', 'В', 'обст', 'в', positive
'S ЕД ЖЕН ПР НЕОД', 'ШКОЛА', 'предл', 'школе', positive
'V СОВ ИЗЪЯВ НЕПРОШ ЕД 1-Л', 'УСПЕВАТЬ', 'сочин', 'успею', positive
'V СОВ ИНФ', 'ПОСЛУШАТЬ', '1-компл', 'послушать', positive
'S МН ВИН ОД', 'ОНИ', '1-компл', 'их', positive
'NID', 'ЗАЕБАЛИ', 'опред', 'Заебали', positive
'S ЕД МУЖ ПР ОД', 'УЖ', 'fictit', 'уже', positive
'NUM МУЖ ВИН НЕОД', 'ОБА', '1-компл', 'оба', positive
'NID', 'D', 'предик', 'D', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ЗАЕЗЖАТЬ', 'сент-соч', 'Заехал', positive
'V СОВ ИНФ', 'МЫТЬ', 'обст', 'помыть', positive
'S ЕД ЖЕН ВИН НЕОД', 'МАШИНА', '1-компл', 'машину', positive
'S ЕД МУЖ ИМ НЕОД', 'КОМПЛЕКС', 'аппоз', 'Комплекс', positive
'S', '400Р', 'аппоз', '400р', positive
'S', 'А', 'аппоз', 'А', positive
'A ЕД СРЕД ИМ', 'ТОТ', 'разъяснит', 'то', positive
'ADV', 'ДАВНО', 'обст', 'давно', positive
'PART', 'НЕ', 'огранич', 'не', positive
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'МЫТЬ', 'изъясн', 'мыл', positive
'CONJ', 'И', 'сочин', 'и', positive
'S ЕД МУЖ ИМ НЕОД', 'САЛОН', 'предик', 'салон', positive
'PART', 'НЕ', 'огранич', 'не', positive
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ЧИСТИТЬ', 'соч-союзн', 'чистил', positive
'S', '#АВТО', 'fictit', '#авто', positive
'S', '#АВТОМОЙКА', 'аппоз', '#автомойка', positive
'S', '#ЯРОСЛАВЛЬ', 'аппоз', '#ярославль', positive
'NID', 'HTTP', 'аппоз', 'http', positive
'S', 'T.CO', 'аппоз', 't.co', positive
'S', 'SC6KCUZAMH', 'аппоз', 'sC6KCUzamH', positive
'A КР ЕД СРЕД', 'ЗАМЕЧАТЕЛЬНЫЙ', 'разъяснит', 'Замечательно', positive
'PART', 'ТОЛЬКО', 'огранич', 'только', positive
'S МН ИМ ОД', 'МЫ', 'предик', 'мы', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 1-Л', 'МОЧЬ', 'сент-соч', 'можем', positive
'V НЕСОВ ИНФ', 'ИГРАТЬ', '1-компл', 'играть', positive
'PR', 'В', '2-компл', 'в', positive
'S МН МУЖ ВИН НЕОД', 'КАРТ', 'предл', 'карты', positive
'PR', 'НА', 'атриб', 'на', positive
'S ЕД ЖЕН ПР НЕОД', 'ЛИТЕРАТУРА', 'предл', 'литературе', positive
'A ЕД СРЕД ВИН', 'ЗАМЕЧАТЕЛЬНЫЙ', 'опред', 'Замечательное', positive
'S ЕД СРЕД ВИН НЕОД', 'УТРО', '1-компл', 'утро', positive
'CONJ', 'И', 'сочин', 'и', positive
'S ЕД СРЕД ВИН НЕОД', 'НАСТРОЕНИЕ', 'соч-союзн', 'настроение', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'БЛОКИРОВАТЬ', '', 'заблокировал', positive
'A ЕД МУЖ ВИН ОД', 'КАКОЙ-ТО', '1-компл', 'какого-то', positive
'S ЕД ЖЕН ВИН ОД', 'ШАВКА', '1-компл', 'шавку', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ПОЙТИ', 'примыкат', 'пошёл', positive
'S ЕД МУЖ ИМ ОД', 'ТЫ', 'предик', 'ты', positive
'NID', 'НАХУЙ', 'аппоз', 'нахуй', positive
'S ЕД МУЖ ИМ ОД', 'ПЕДЕРАСТ', 'примыкат', 'педераст', positive
'S ЕД ЖЕН ВИН НЕОД', 'СМЕРТЬ', '1-компл', 'смерть', positive
'A ЕД МУЖ ТВОР', 'ВЕСЬ', 'опред', 'всем', positive
'NID', 'ЖЫДОКОММУНИСТАМ', 'квазиагент', 'жыдокоммунистам', positive
'ADV', 'ЗАВТРА', 'огранич', 'Завтра', positive
'A ЕД МУЖ ИМ', 'РОДИТЕЛЬСКИЙ', 'опред', 'Родительский', positive
'S ЕД МУЖ ИМ НЕОД', 'ДЕНЬ', 'предик', 'День', positive
'S МН ВИН ОД', 'ВСЕ', '1-компл', 'ВСЕХ', positive
'PR', 'С', 'fictit', 'С', positive
'V НЕСОВ ПРИЧ НЕПРОШ ЕД СРЕД ТВОР', 'НАСТУПАТЬ', 'опред', 'НАСТУПАЮЩИМ', positive
'S ЕД СРЕД ТВОР НЕОД', 'СОБЫТИЕ', 'предл', 'СОБЫТИЕМ', positive
'PART', 'НЕ', 'огранич', 'НЕ', positive
'V НЕСОВ ПОВ МН 2-Л', 'ЗАБЫВАТЬ', 'разъяснит', 'ЗАБЫВАЙТЕ', positive
'PR', 'О', '2-компл', 'О', positive
'A МН ПР', 'СВОЙ', 'опред', 'СВОИХ', positive
'S МН МУЖ ПР ОД', 'РОДИТЕЛЬ', 'предл', 'РОДИТЕЛЯХ', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 2-Л', 'ЛЮБИТЬ', 'сочин', 'ЛЮБИТЕ', positive
'CONJ', 'И', 'сочин', 'И', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 2-Л', 'ЦЕНИТЬ', 'соч-союзн', 'ЦЕНИТЕ', positive
'S МН ВИН ОД', 'ОНИ', '1-компл', 'ИХ', positive
'NID', 'HTTP', 'fictit', 'http', positive
'S', 'T.CO', 'аппоз', 't.co', positive
'S', 'H9A7OMXMTX', 'аппоз', 'h9A7OmxmTX', positive
'S ЕД СРЕД ИМ НЕОД', 'ЗАВТРА', 'аппоз', 'Завтра', positive
'S ЕД МУЖ ИМ НЕОД', 'ЭКЗАМЕН', 'предик', 'экзамен', positive
'CONJ', 'А', 'сент-соч', 'а', positive
'PR', 'У', 'сент-соч', 'у', positive
'S МН РОД ОД', 'МЫ', 'предл', 'нас', positive
'PART', 'ДАЖЕ', 'огранич', 'даже', positive
'S ЕД МУЖ РОД НЕОД', 'ДОПУСК', 'предл', 'допуска', positive
'PR', 'НА', '2-компл', 'на', positive
'S ЕД МУЖ ВИН ОД', 'ОН', 'предл', 'него', positive
'PART', 'НЕТ', 'вводн', 'нет', positive
'NID', 'D', 'квазиагент', 'D', positive
'PART', 'И', 'огранич', 'И', positive
'A ЕД ЖЕН РОД', 'САМ', 'опред', 'самой', positive
'S ЕД ЖЕН РОД ОД', 'ДЕВУШКА', 'fictit', 'девушки', positive
'NID', 'RT', '', 'RT', positive
'S', '@DJ_FATEH', 'аппоз', '@DJ_Fateh', positive
'S ЕД МУЖ ИМ НЕОД', 'КОНКУРС', 'fictit', 'Конкурс', positive
'NID', 'MISS', 'квазиагент', 'Miss', positive
'NID', 'AZERBAIJAN', 'аппоз', 'Azerbaijan', positive
'S ЕД СРЕД ИМ НЕОД', 'ЭТО', 'предик', 'это', positive
'ADV', 'КОГДА', 'обст', 'когда', positive
'S ЕД МУЖ ИМ НЕОД', 'БУКЕТ', 'сочин', 'букет', positive
'PR', 'В', 'атриб', 'в', positive
'S МН ЖЕН ПР НЕОД', 'РУКА', 'предл', 'руках', positive
'S ЕД ЖЕН РОД ОД', 'ДЕВУШКА', 'квазиагент', 'девушки', positive
'ADV СРАВ', 'КРАСИВО', 'обст', 'красивее', positive
'S ЕД ЖЕН РОД НЕОД', 'КОРОНА', 'сравнит', 'короны', positive
'CONJ', 'И', 'сочин', 'и', positive
'S ЕД МУЖ РОД НЕОД', 'СЕРТИФИКАТ', 'соч-союзн', 'сертификата', positive
'S ЕД МУЖ ИМ ОД', 'ИГОРЕК', 'предик', 'Игорек', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ПРИВОЗИТЬ', 'сент-соч', 'привез', positive
'PR', 'ИЗ', '2-компл', 'из', positive
'S ЕД ЖЕН РОД НЕОД', 'УКРАИНА', 'предл', 'Украины', positive
'A КР ЕД МУЖ', 'ПРЯМОЙ', 'разъяснит', 'прям', positive
'CONJ', 'КАК', 'сравнит', 'как', positive
'PR', 'В', 'сравн-союзн', 'в', positive
'S ЕД МУЖ ПР НЕОД', 'ЛАГЕРЬ', 'предл', 'лагере', positive
'S', '#УНИВЕР', 'fictit', '#универ', positive
'NID', 'HTTP', 'аппоз', 'http', positive
'S', 'T.CO', 'fictit', 't.co', positive
'S', 'UW7DUN7OKU', 'аппоз', 'uw7duN7oKu', positive
'PR', 'ИЗ', 'атриб', 'из', positive
'A МН РОД', 'СЛАДКИЙ', 'опред', 'сладких', positive
'S МН ЖЕН РОД НЕОД', 'ГРЕЗА', 'предл', 'грез', positive
'PR', 'В', 'разъяснит', 'в', positive
'A ЕД ЖЕН ВИН', 'РАБОЧИЙ', 'опред', 'рабочую', positive
'S ЕД ЖЕН ВИН НЕОД', 'РЕАЛЬНОСТЬ', 'предл', 'реальность', positive
'NID', 'HTTP', 'fictit', 'http', positive
'S', 'T.CO', 'огранич', 't.co', positive
'S', 'E17LK75KTV', 'аппоз', 'e17LK75KtV', positive
'NID', 'ИКЕЕВСКИЕ', 'аппоз', 'Икеевские', positive
'S МН МУЖ ИМ НЕОД', 'ПОНЧИК', 'предик', 'пончики', positive
'PR', 'ПО', 'атриб', 'по', positive
'NUM', '5', 'количест', '5', positive
'S МН МУЖ РОД НЕОД', 'РУБЛЬ', 'предл', 'рублей', positive
'S ЕД СРЕД ИМ НЕОД', 'ЭТО', 'предик', 'это', positive
'PART', 'ПРОСТО', 'огранич', 'просто', positive
'S ЕД ЖЕН ИМ НЕОД', 'СКАЗКА', 'предик', 'сказка', positive
'A ЕД ЖЕН ИМ', 'КАКОЙ', 'разъяснит', 'какая', positive
'S ЕД СРЕД ИМ НЕОД', 'ТО', 'разъяснит', 'то', positive
'CONJ', 'ИЛИ', 'fictit', 'или', positive
'PR', 'К', 'обст', 'к', positive
'S ЕД МУЖ ДАТ ОД', 'ЧЕРТ', 'предл', 'черту', positive
'A МН ИМ', 'ВЕСЬ', 'опред', 'все', positive
